00VTYBDD57,Saturday,7,2016,2
018LT1570I,Tuesday,3,2015,1
02TGVT31WZ,Saturday,10,2018,3
02Y46EMIP5,Tuesday,9,2017,3
033CHXVC68,Sunday,1,2015,0
063P1BL99F,Friday,2,2018,1
06JZLSJOKJ,Tuesday,11,2016,4
06KMHNT8MH,Monday,4,2015,1
08WYQSON1O,Monday,12,2017,4
08Y9V3ELN2,Wednesday,8,2015,3
0AA08AP0D0,Saturday,4,2017,1
0AR0AFQSO6,Tuesday,9,2018,3
0D9O4Y3KIM,Thursday,9,2016,3
0DF9Y51V66,Tuesday,10,2018,3
0ENA89HWZK,Friday,12,2018,4
0EVULVEP4X,Friday,1,2015,0
0FFD1QB97U,Monday,12,2018,4
0G36CZL1Y7,Tuesday,11,2015,4
0G3JBLSET2,Friday,1,2015,0
0GELV5BSGQ,Tuesday,9,2018,3
0HR8X6U6U6,Monday,9,2015,3
0HXPDAXFIB,Sunday,3,2018,1
0JRC21GP37,Saturday,8,2018,3
0MJ39HJCCU,Sunday,6,2018,2
0NA33BP1Z4,Sunday,9,2016,3
0NTIRLSVQA,Tuesday,3,2016,1
0O2N43PIKB,Tuesday,9,2018,3
0S6D7S28S9,Saturday,9,2016,3
0SPZ7T9HS5,Monday,5,2018,2
0T033XWHNZ,Tuesday,11,2018,4
0UHZ157SQV,Saturday,12,2018,4
0UIT2PO815,Saturday,9,2016,3
0V75B1I6CC,Saturday,12,2015,4
0VC7EE4U2M,Sunday,9,2018,3
0VZUTYVN78,Saturday,6,2018,2
0W5HS72LEY,Sunday,3,2015,1
0W84TGSOL1,Monday,11,2017,4
0WGIZTTJJH,Friday,4,2017,1
0Y2SLBEZGS,Sunday,12,2018,4
0YCAJZUPXV,Saturday,12,2018,4
0ZLXDAFYL6,Sunday,9,2015,3
10BWNG153S,Saturday,12,2017,4
12920XTNLF,Tuesday,10,2016,3
12FBXIYJ8C,Wednesday,8,2016,3
12UA10J1UT,Wednesday,8,2016,3
175E2XWD23,Monday,9,2017,3
19VCAT6S8V,Saturday,3,2018,1
1A4HFE9B8R,Tuesday,6,2017,2
1AMCYOKKBW,Monday,12,2017,4
1BQL0UDENQ,Monday,7,2018,2
1E290VMC75,Wednesday,4,2017,1
1FH6EFW3PH,Tuesday,12,2015,4
1IL6KBA260,Friday,2,2018,1
1J25ALT6H9,Wednesday,10,2016,3
1KHVOWU93N,Friday,12,2018,4
1L9UJINRG5,Monday,10,2016,3
1NRM21INLT,Saturday,6,2018,2
1PSBZMP86N,Wednesday,7,2015,2
1PT6ECZS6G,Monday,12,2017,4
1TBIU9PKXW,Tuesday,9,2017,3
1TH5ZJMSQ8,Tuesday,6,2015,2
1WFVF6MQG1,Saturday,8,2018,3
1XTAGFOLWR,Saturday,12,2018,4
1XWS5BLV0S,Saturday,9,2015,3
1Z9QFO063V,Monday,9,2018,3
22SRSMZR7C,Tuesday,9,2017,3
24B5XKC2SR,Monday,3,2017,1
264EQN5LS5,Saturday,9,2016,3
26C26FRJGV,Tuesday,8,2015,3
285RE61IUL,Tuesday,1,2015,0
28BCA4CGOD,Tuesday,8,2017,3
29OY6W4IT1,Sunday,7,2015,2
2AV1EBUIGI,Saturday,9,2015,3
2C1PIJ1N2Y,Thursday,11,2016,4
2JMPHS9WGK,Wednesday,8,2017,3
2LZS2WCNZL,Thursday,3,2016,1
2NTZOSG9UH,Tuesday,10,2015,3
2R1JY72C13,Monday,3,2017,1
2TYKVZHXS2,Monday,11,2017,4
2VUFFPQ2AL,Monday,10,2018,3
2WEP1OLF4X,Sunday,1,2015,0
317UAINT1R,Saturday,12,2015,4
34QN7J4306,Sunday,6,2017,2
35O40KQGQZ,Saturday,5,2015,2
35ZHP15NQ3,Tuesday,7,2016,2
36DZ3BO93D,Saturday,7,2016,2
396PFBM7IM,Wednesday,12,2017,4
39HJKIWH30,Monday,6,2017,2
3APGIHB09V,Friday,11,2017,4
3B57E0Y4QY,Wednesday,11,2016,4
3CLQ8N7GDU,Friday,12,2018,4
3COV2CNIIQ,Thursday,12,2015,4
3CTUO2G4VZ,Wednesday,11,2015,4
3E7JXHZUBT,Friday,10,2016,3
3EHRYZG7FR,Tuesday,6,2015,2
3FC24XM6F3,Wednesday,3,2016,1
3FYJOWFNN5,Saturday,4,2018,1
3GDB9NVW46,Monday,5,2018,2
3HWOL656QQ,Saturday,9,2018,3
3I5CR31VH2,Tuesday,1,2015,0
3IK6V4Z510,Tuesday,1,2018,0
3JLLF290X3,Saturday,4,2018,1
3JSQXBZ2OD,Monday,5,2018,2
3KXHCQQXJE,Sunday,6,2017,2
