002YKM,Corporate,United States,Belleville,New Jersey,East,19,Male
047HQJ,Consumer,United States,Minneapolis,Minnesota,Central,64,Female
05K29H,Consumer,United States,Aurora,Colorado,West,60,Female
06K8I0,Consumer,United States,Portland,Oregon,West,25,Female
06VGEN,Home Office,United States,Tampa,Florida,South,42,Female
07NG73,Home Office,United States,Columbus,Ohio,East,67,Female
07R8I9,Home Office,United States,New York City,New York,East,50,Male
09NQQ6,Corporate,United States,New York City,New York,East,66,Male
0A0BLE,Corporate,United States,San Francisco,California,West,35,Male
0AE0A8,Consumer,United States,San Francisco,California,West,28,Female
0CDHDZ,Corporate,United States,Houston,Texas,Central,64,Female
0CQ47U,Home Office,United States,New York City,New York,East,57,Female
0EQWTZ,Consumer,United States,Los Angeles,California,West,30,Female
0FPC3M,Consumer,United States,San Francisco,California,West,38,Female
0GN3ZV,Corporate,United States,Bossier City,Louisiana,South,24,Female
0GVERS,Home Office,United States,Philadelphia,Pennsylvania,East,53,Male
0HRGDV,Consumer,United States,Trenton,Michigan,Central,57,Female
0IBH5Y,Consumer,United States,Detroit,Michigan,Central,32,Male
0IE8S6,Consumer,United States,Gladstone,Missouri,Central,42,Male
0L0BS7,Consumer,United States,Los Angeles,California,West,65,Male
0LVWBI,Consumer,United States,Columbus,Ohio,East,54,Female
0O83MN,Consumer,United States,Los Angeles,California,West,30,Female
0P2PMW,Consumer,United States,Los Angeles,California,West,27,Female
0SDE1I,Home Office,United States,Chicago,Illinois,Central,59,Female
0V6S00,Consumer,United States,Henderson,Kentucky,South,41,Male
0V8Y19,Home Office,United States,Houston,Texas,Central,60,Female
0VHF0F,Consumer,United States,Chicago,Illinois,Central,67,Female
0WLFOL,Consumer,United States,San Antonio,Texas,Central,50,Male
0XPYYP,Consumer,United States,Dublin,Ohio,East,22,Male
0YDI7N,Corporate,United States,Manchester,Connecticut,East,63,Female
0Z08GD,Home Office,United States,Los Angeles,California,West,21,Female
0ZJ9DK,Home Office,United States,Newark,Ohio,East,49,Female
10IBPI,Consumer,United States,Henderson,Kentucky,South,62,Male
11VO38,Consumer,United States,Louisville,Kentucky,South,18,Female
12X509,Home Office,United States,Lakewood,New Jersey,East,18,Female
151IMR,Corporate,United States,Columbus,Indiana,Central,66,Male
17DPHS,Corporate,United States,Houston,Texas,Central,29,Female
17ROFK,Consumer,United States,Concord,New Hampshire,East,40,Male
18A9NJ,Home Office,United States,New York City,New York,East,67,Male
18OUXX,Corporate,United States,San Francisco,California,West,54,Female
190IQP,Consumer,United States,Green Bay,Wisconsin,Central,51,Male
19GMKH,Home Office,United States,Park Ridge,Illinois,Central,41,Male
19XM1F,Consumer,United States,Los Angeles,California,West,45,Male
1BNJ5N,Consumer,United States,Seattle,Washington,West,65,Male
1BR381,Home Office,United States,Columbus,Ohio,East,64,Male
1CPP6M,Consumer,United States,Philadelphia,Pennsylvania,East,40,Male
1D6BIM,Consumer,United States,Decatur,Illinois,Central,46,Male
1GQ7XL,Home Office,United States,New York City,New York,East,44,Female
1IB2N4,Consumer,United States,Houston,Texas,Central,62,Female
1J65JJ,Corporate,United States,San Diego,California,West,66,Male
1JYHE7,Consumer,United States,Los Angeles,California,West,61,Female
1KD3S9,Consumer,United States,San Antonio,Texas,Central,46,Female
1MNSNZ,Home Office,United States,New Rochelle,New York,East,21,Female
1RHUKG,Consumer,United States,San Antonio,Texas,Central,25,Male
1SWZUA,Consumer,United States,Troy,New York,East,29,Female
1TK9M7,Corporate,United States,Quincy,Illinois,Central,54,Female
1TOCL0,Home Office,United States,Philadelphia,Pennsylvania,East,32,Female
1VHOJY,Consumer,United States,Jackson,Mississippi,South,37,Male
1XZK18,Consumer,United States,Denver,Colorado,West,23,Male
1YCHXD,Corporate,United States,Medina,Ohio,East,39,Male
1YD40Q,Consumer,United States,Philadelphia,Pennsylvania,East,35,Male
2582X6,Home Office,United States,Columbia,Tennessee,South,58,Male
26UMCZ,Consumer,United States,Philadelphia,Pennsylvania,East,37,Female
279NYD,Corporate,United States,New York City,New York,East,18,Female
27J8T4,Corporate,United States,San Francisco,California,West,23,Female
